item_id,sku,title,image_count,all_eps,non_eps_images,min_long_px,below_zoom_800,below_ideal,priority,issue,recommended_action,self_hosted_urls,low_res_urls,approved,reviewer_notes
256510047916,MCN-PCSTUCCS-550-30-PARENT,"GEAR AID 550 Paracord and Carabiner 7 Strand Utility, Camping, Reflective, 30 ft",5,no,5,,0,0,HIGH,5 self-hosted (non-EPS),Re-upload 5 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/3br.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/3c.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/cord/MCN-PACSUCCS-550-CAMO-30_MAIN.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/3or.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/cord/MCN-PCSTUCCS-550-ORNG-R-30FT_MAIN.jpg,,,
256510048023,MCN-DABUCKLE-PARENT,"GEAR AID Dual Adjust Replacement Buckle Kit, Various Sizes, Multi-pack",5,no,5,,0,0,HIGH,5 self-hosted (non-EPS),Re-upload 5 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/outerwear/80345_buckle1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/gear_aid_80385_package_front.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/gear_aid_80385_package_rear.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/gearaid-dualadj-6buckleset-parent_063_1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/75_dualadjustbuckleInch.jpg,,,
256529646593,MCN-BURIDIVEKNIFE-PARENT,"GEAR AID Buri Drop Point Knife with Sheath, 3"" Blade, Orange/Black",5,no,5,,0,0,HIGH,5 self-hosted (non-EPS),Re-upload 5 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/bo3.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/bb2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/bb1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/bb4.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/bb3.jpg,,,
256514435510,MCN-TTAPEREPAIRPATCHES-AMZ-PARENT,"GEAR AID Tenacious Tape No-Sew Mini Repair Patches for Jackets, Tents 1.5""x2.5""",6,no,2,793,1,1,HIGH,2 self-hosted (non-EPS); 1 under 800px (no zoom),Re-upload 2 image(s) to eBay Picture Services (EPS); Replace 1 image(s) with >=1600px source,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/Main%20&%20SWCH-T-Tape-Minis-Clear-Comp-01.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/Main%20&%20SWCH%20T-Tape-Minis-Black-Comp-01.jpg,https://i.ebayimg.com/images/g/8n0AAOSwmTxmRv3B/s-l1600.jpg (793x793),,
256510047966,SON-100PKZIPLOCKBAG-PARENT,100 Pieces Self Locking Plastic Bags 2mm Thick All Purpose Storage Various Sizes,4,no,2,1000,0,2,HIGH,2 self-hosted (non-EPS); 2 under 1600px (below ideal),Re-upload 2 image(s) to eBay Picture Services (EPS); Optional: upgrade 2 image(s) to >=1600px,https://s3.amazonaws.com/DOWS_products/1000x1000/home/kitchen/8x10-zip-bag-action.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/home/kitchen/8x10-zip-bag.jpg,,,
256510048011,MET-PCLC-PARENT,"GEAR AID Ellipse Cord Locks, Black, Orange",4,no,1,600,1,2,HIGH,1 self-hosted (non-EPS); 1 under 800px (no zoom),Re-upload 1 image(s) to eBay Picture Services (EPS); Replace 1 image(s) with >=1600px source,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/xlarge_orange_toggle.jpg,https://i.ebayimg.com/images/g/CXwAAOSwkXRmQbwE/s-l1600.jpg (600x600),,
256525915854,ASR-EDACS-BUN-3PC-MED-BNDL,Bald Eagle Dagger 3pc American Flag Knife Collector Set,4,yes,0,500,3,0,MED,3 under 800px (no zoom),Replace 3 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/WHsAAOSwiVdmVX~X/s-l1600.jpg (500x500) | https://i.ebayimg.com/images/g/KlAAAOSw-xdmVX~X/s-l1600.jpg (500x500) | https://i.ebayimg.com/images/g/kXoAAOSwlQlmVX~X/s-l1600.jpg (500x500),,
256510041765,MCN-MRLBCCC-4OZ,"GEAR AID Revivex Boot, Shoe Cleaner, Leather Suede Fabric, Concentrated, 4 fl oz",2,yes,0,626,2,0,MED,2 under 800px (no zoom); only 2 image(s),Replace 2 image(s) with >=1600px source; Add product images,,https://i.ebayimg.com/images/g/7nAAAOSw005mQbl6/s-l1600.jpg (626x626) | https://i.ebayimg.com/images/g/S54AAOSwjwRmQbl6/s-l1600.jpg (628x628),,
256510048036,MCN-MUTPARMSDGS4OZ-4OZ-CLR-4,"GEAR AID UV Protectant and Conditioner for Plastic, Vinyl, Rubber, Nylon 4 fl oz",3,yes,0,529,2,1,MED,2 under 800px (no zoom),Replace 2 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/3zkAAOSw2NBmQbxW/s-l1600.jpg (535x535) | https://i.ebayimg.com/images/g/1PcAAOSwPgdmQbxW/s-l1600.jpg (529x529),,
256446183412,MCN-MGARWRLGAC-4O,"GEAR AID Revivex Leather Water Repellent for Shoes and Boots, 4 fl oz",3,yes,0,626,2,1,MED,2 under 800px (no zoom),Replace 2 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/09wAAOSwwQRl837N/s-l1600.jpg (626x626) | https://i.ebayimg.com/images/g/QM4AAOSwSKdl837O/s-l1600.jpg (636x636),,
256525915660,SON-DHCSDBS-6PC,"Diamond Drill Bit Hole Saw Set Core 5/32 - 1/2"" Tile Glass Marble - 6pc",3,yes,0,500,2,1,MED,2 under 800px (no zoom),Replace 2 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/SS8AAOSwxGBmVYB0/s-l1600.jpg (500x500) | https://i.ebayimg.com/images/g/q88AAOSwCGhmVYB0/s-l1600.jpg (500x500),,
256508244348,SON-DTCBAU-12PC-SML-WHT-2,Disposable Towels Compact Compressed Biodegradable and Unscented - 12 Pack,2,yes,0,500,2,0,MED,2 under 800px (no zoom); only 2 image(s),Replace 2 image(s) with >=1600px source; Add product images,,https://i.ebayimg.com/images/g/GewAAeSw8hNo5UAs/s-l1600.jpg (500x500) | https://i.ebayimg.com/images/g/64cAAeSwo1Bo5UCb/s-l1600.jpg (788x486),,
256508244356,SON-ESSBL-LG-SLVR,Emergency Sleeping Bag Mylar Insulated Heat Light Weight 84x36 Inch,2,yes,0,500,2,0,MED,2 under 800px (no zoom); only 2 image(s),Replace 2 image(s) with >=1600px source; Add product images,,https://i.ebayimg.com/images/g/AMMAAOSwTy1mPxY~/s-l1600.jpg (500x500) | https://i.ebayimg.com/images/g/Qr0AAOSw44VmPxY~/s-l1600.jpg (500x500),,
256508244466,SON-OTRSCMP-STD-YLLW,Outdoor Thermal Mat Heat Reflective Sleeping Pad Insulated Winter Chill,1,yes,0,500,1,0,MED,1 under 800px (no zoom); only 1 image(s),Replace 1 image(s) with >=1600px source; Add product images,,https://i.ebayimg.com/images/g/UkQAAOSwOc9mPxaP/s-l1600.jpg (500x500),,
256508244506,SON-PJEGFTSD-7PC-SML-SLVR,Precision Jeweler Eye Glasses Flat Tip Screw Driver - 7pc,1,yes,0,500,1,0,MED,1 under 800px (no zoom); only 1 image(s),Replace 1 image(s) with >=1600px source; Add product images,,https://i.ebayimg.com/images/g/OA0AAeSw469o5UPZ/s-l1600.jpg (500x500),,
256510041712,MET-GEARAIDREVIVEXSPRAY-AMZN,"GEAR AID Revivex Suede Protector, Water Repellent for Shoe, Boots, 4 fl oz, 2pk",6,yes,0,535,1,5,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/yr4AAOSwC5RmQbmn/s-l1600.jpg (535x535),,
256510041789,MCN-WINCHBUCKLE-PARENT,"GEAR AID Hip Adjust Buckle, 1"", 1.5"", Black",1,yes,0,385,1,0,MED,1 under 800px (no zoom); only 1 image(s),Replace 1 image(s) with >=1600px source; Add product images,,https://i.ebayimg.com/images/g/jV0AAOSwF2tmQbm3/s-l1600.jpg (385x385),,
256510047624,SON-POLISHINGWHEEL-2IN,Universal Tool Cloth Polishing Buff Wheel 2 Inch Diameter Soft Muslin,11,yes,0,780,1,0,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/7EEAAOSw3zBmQbzu/s-l1600.jpg (780x780),,
256510047928,MCN-MBMPRK-STD-PARENT,"GEAR AID Tenacious Tape Mesh Patches for Tent and Bug Screen Repair, 3"" Rounds",8,yes,0,612,1,7,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/9skAAOSwBr5mQbwx/s-l1600.jpg (612x612),,
256510047956,MCN-PCUCCH-325-PARENT,"GEAR AID 325 Paracord and Carabiner, 3mm Utility Cord for Camping & Hiking, 50ft",1,yes,0,364,1,0,MED,1 under 800px (no zoom); only 1 image(s),Replace 1 image(s) with >=1600px source; Add product images,,https://i.ebayimg.com/images/g/TT4AAOSwTTxmQbx-/s-l1600.jpg (364x364),,
256510047994,MCN-AKUADIVEKNIFE-BLACK-E2N,"GEAR AID Akua Blunt Tip Paddle Knife with 3"" Serrated Blade and Sheath, Black",7,yes,0,703,1,6,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/RHIAAeSwxWNo5UsS/s-l1600.jpg (703x703),,
256510048004,MCN-MMESBDMPT125OZ-2,"GEAR AID Sea Buff Dive Mask and Slate Cleaner, 1.25 fl oz",3,yes,0,754,1,2,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/x4MAAOSwiuRmQbyX/s-l1600.jpg (754x754),,
256510048037,SON-U3IRHC-MED-SLVR,Universal Rubber Head Clamps 3 Inch Secure Lever Lock Metal Body Outdoor 1pk,1,yes,0,500,1,0,MED,1 under 800px (no zoom); only 1 image(s),Replace 1 image(s) with >=1600px source; Add product images,,https://i.ebayimg.com/images/g/HGQAAOSw6KhmQbxn/s-l1600.jpg (500x500),,
257016930958,MCN-SEAGLD-AMZN-PARENT,"GEAR AID Sea Gold Anti-Fog Gel Coating for SCUBA Dive Masks, 1.25 fl oz",7,yes,0,756,1,6,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/vAIAAeSwv3ZodXbe/s-l1600.jpg (756x756),,
256446183331,MCN-GARVXPC-DWP169OZ-BNDL-AMZ,GEAR AID Care Kit with Revivex Pro Cleaner & 16oz Durable Water Repellent Spray,6,yes,0,500,1,5,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/5G4AAOSwCuNl837P/s-l1600.jpg (500x500),,
256512646263,MCN-AKUADIVEKNIFE-BLACK,"GEAR AID Akua Blunt Tip Paddle Knife with 3"" Serrated Blade, Sheath Green/Black",7,yes,0,703,1,6,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/UEoAAeSw6gNo5UsC/s-l1600.jpg (703x703),,
256514435542,MCN-REVIVX-SEAMGRIPTF-BUNDLE-HPNR,"GEAR AID Tent Waterproofing Spray and Sealer for Nylon Tents, Tent Fabric Kit",8,yes,0,436,1,7,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/EqQAAOSwdG1mRv5j/s-l1600.jpg (436x436),,
256515004658,MCN-SEAMGRIP-TF-PARENT,"GEAR AID Seam Grip TF Tent Fabric Sealer for Waterproofing, Clear, 4 fl oz",5,yes,0,436,1,4,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/mCIAAOSwdFlmR6fj/s-l1600.jpg (436x436),,
256519121557,SON-WATERPROOF-NOTEBOOK,Waterproof Field Notebook Pocket Size 3x5 with Pencil 50 Sheet Outdoor Pad,3,yes,0,788,1,0,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/3vEAAOSwT-dmTO47/s-l1600.jpg (788x788),,
256519121588,SON-WATERPROOF-NOTEBOOK-IR-TT,ASR Outdoor Waterproof Notebook Memo Pad with Pencil,4,yes,0,788,1,1,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/aA8AAOSwy79mTO53/s-l1600.jpg (788x788),,
256525915613,SON-20ITLWAC-10PC-STD-RD,10pc Insulated Test Lead with Alligator Clips Set 20 Inch,1,yes,0,500,1,0,MED,1 under 800px (no zoom); only 1 image(s),Replace 1 image(s) with >=1600px source; Add product images,,https://i.ebayimg.com/images/g/ivIAAOSw-jNmVYAY/s-l1600.jpg (500x500),,
256525915629,SON-DBSRT40G-50PC-STD-YLLW,"SE 8235DD4 Diamond Burr Set 46 Grit, 50-Piece",2,yes,0,500,1,1,MED,1 under 800px (no zoom); only 2 image(s),Replace 1 image(s) with >=1600px source; Add product images,,https://i.ebayimg.com/images/g/qKwAAOSw5JBmVX~A/s-l1600.jpg (500x500),,
256525915671,SON-GR4XTVCSACK-5PC-SML-BLCK,ASR Outdoor Prospecting Magnifying Tweezer & Vial Kit - 4x Magnification,3,yes,0,500,1,0,MED,1 under 800px (no zoom),Replace 1 image(s) with >=1600px source,,https://i.ebayimg.com/images/g/0eMAAOSweKFmVYA5/s-l1600.jpg (500x500),,
