priority,item_id,title,category_id,category_path,schema_aspects,present,missing_required,missing_recommended,missing_required_names,missing_recommended_names
14,256510048102,"ASR Outdoor Slim 3-Stage Headlamp Ultrabright 150 Lumen COB Flood Light",106984,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Headlamps",26,12,0,14,,"Power Source; Operating Range; Item Weight; Voltage; Lighting Technology; Number of Batteries; Battery Technology; Operating Time; Number of Lights; IP Rating; Lumens; Number of LEDs; Unit Quantity; Unit Type"
14,256525915632,"Paka Wood Pocket Knife Folding Blade 440 Stainless Steel Clip Point",7306,"Sporting Goods|Hunting|Knives & Tools|Other Hunting Knives & Tools",20,6,0,14,,"Tools Included; Number of Tools; Blade Material; Handle Material; Blade Edge; Blade Length; Blade Hardness; California Prop 65 Warning; Features; Item Weight; Manufacturer Warranty; Overall Length; Unit Quantity; Unit Type"
14,256525915822,"BBQ Fork Telescoping 2 Prong Cooking Utensil - Camping Accessories",20725,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Heating, Cooking & Eating|Barbecue Tools",25,11,0,14,,"Set Includes; Number in Pack; Handle Material; Head Material; Item Weight; Personalize; Year Manufactured; Number of Items in Set; Style; Manufacturer Warranty; California Prop 65 Warning; Personalization Instructions; Unit Quantity; Unit Type"
14,256525915882,"Fixed Blade Tanto Point Hunting Neck Knife - Blue 4 Inch",75235,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Knives",20,6,0,14,,"Handle Material; Blade Edge; Blade Length; Blade Material; Features; Personalize; Blade Hardness; California Prop 65 Warning; Item Weight; Manufacturer Warranty; Overall Length; Personalization Instructions; Unit Quantity; Unit Type"
14,256525915902,"Multi Function Stainless Steel Utility Pocket Knife w/ Carrying Pouch",75236,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Multi-Tools",20,6,0,14,,"Tools Included; Material; Number of Tools; Blade Material; Blade Edge; Blade Length; Closed Length; Color; California Prop 65 Warning; Item Weight; Manufacturer Warranty; Overall Length; Unit Quantity; Unit Type"
14,256529646593,"GEAR AID Buri Drop Point Knife with Sheath, 3"" Blade, Orange/Black",75235,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Knives",20,6,0,14,,"Handle Material; Blade Edge; Blade Length; Blade Material; Features; Personalize; Blade Hardness; California Prop 65 Warning; Item Weight; Manufacturer Warranty; Overall Length; Personalization Instructions; Unit Quantity; Unit Type"
13,256468957823,"ASR Outdoor Survival Paracord Rope 100ft (10 Colors)",181413,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Paracord & Paracord Supplies",19,6,0,13,,"Features; Number in Pack; Number of Strands; Country of Origin; Suitable For; Tensile Strength; California Prop 65 Warning; Item Weight; MPN; Model; Rope Diameter; Unit Quantity; Unit Type"
13,256500167211,"Camping Utensil Set Knife Fork Spoon",87133,"Sporting Goods|Camping & Hiking|Camping Cooking Supplies|Camping Cooking Utensils",24,11,0,13,,"Sport/Activity; Handle Material; Surface Coating; Number of Items in Set; California Prop 65 Warning; Heat Resistance; Item Weight; Manufacturer Warranty; Product Line; Set Includes; Stove Type Compatibility; Unit Quantity; Unit Type"
13,256508244301,"Foam Kneeling Pad and Hand Trowel Shovel Outdoor Home Garden Combo Set",75669,"Home & Garden|Yard, Garden & Outdoor Living|Garden Clothing & Protective Gear|Garden Kneelers, Cushions & Seats",25,12,0,13,,"Indoor/Outdoor; Assembly Status; Item Weight; Set Includes; Number of Items in Set; Seating Capacity; Seat Depth; Seat Height; FSC Certified; Year Manufactured; Care Instructions; Manufacturer Warranty; Maximum Weight Capacity"
13,256508244379,"BBQ Grill Mat Non-Stick Heavy Duty Outdoor Patio Eating and Cooking Tools - 2Pk",20725,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Heating, Cooking & Eating|Barbecue Tools",25,12,0,13,,"Set Includes; Number in Pack; Handle Material; Head Material; Item Weight; Personalize; Year Manufactured; Number of Items in Set; Style; Manufacturer Warranty; Personalization Instructions; Unit Quantity; Unit Type"
13,256508244417,"Beille Black BBQ Grill Accessories Reusable Non Stick Grilling Mats 13x15"" 2pk",20725,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Heating, Cooking & Eating|Barbecue Tools",25,12,0,13,,"Set Includes; Number in Pack; Handle Material; Head Material; Item Weight; Personalize; Year Manufactured; Number of Items in Set; Style; Manufacturer Warranty; Personalization Instructions; Unit Quantity; Unit Type"
13,256508244457,"ASR Outdoor Extendable Marshmallow Toaster Telescoping BBQ Fork Camping Utensil",20725,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Heating, Cooking & Eating|Barbecue Tools",25,12,0,13,,"Set Includes; Number in Pack; Handle Material; Head Material; Item Weight; Personalize; Year Manufactured; Number of Items in Set; Style; Manufacturer Warranty; Personalization Instructions; Unit Quantity; Unit Type"
13,256508701447,"ASR Outdoor Telescopic BBQ Fork 2 Prong Outdoor Cooking Utensil - 3 Pack",20725,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Heating, Cooking & Eating|Barbecue Tools",25,12,0,13,,"Set Includes; Number in Pack; Handle Material; Head Material; Item Weight; Personalize; Year Manufactured; Number of Items in Set; Style; Manufacturer Warranty; Personalization Instructions; Unit Quantity; Unit Type"
13,256508701474,"Set of 4 Non-Stick BBQ Grill Mats Reusable Easy to Clean",20725,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Heating, Cooking & Eating|Barbecue Tools",25,12,0,13,,"Set Includes; Number in Pack; Handle Material; Head Material; Item Weight; Personalize; Year Manufactured; Number of Items in Set; Style; Manufacturer Warranty; Personalization Instructions; Unit Quantity; Unit Type"
13,256510041721,"Sports Belt 8 Inch Expanding Pocket Black Reflective Strips Running Hiking",158951,"Sporting Goods|Fitness, Running & Yoga|Clothing & Accessories|Safety & Reflective Gear",25,12,0,13,,"Number of Items; Body Area; Department; Application; Expiration Date; Style; Sport/Activity; California Prop 65 Warning; Item Diameter; Item Weight; Manufacturer Warranty; Unit Quantity; Unit Type"
13,256510047624,"Universal Tool Cloth Polishing Buff Wheel 2 Inch Diameter Soft Muslin",42266,"Home & Garden|Tools & Workshop Equipment|Power Tools|Buffers & Polishers",23,10,0,13,,"Action; Disc Diameter; Voltage; Battery Included; Battery Technology; Power; Power Source; Battery Capacity; Manufacturer Warranty; Item Diameter; Item Weight; Unit Quantity; Unit Type"
13,256525915604,"Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Window Punch",48818,"Collectibles|Knives, Swords & Blades|Collectible Folding Knives|Modern Folding Knives|Factory Manufactured",19,6,0,13,,"Number of Blades; Handle Material; Blade Type; Opening Mechanism; Product Line; Blade Edge; Lock Type; Tools; Blade Material; Blade Range; Original/Reproduction; Dexterity; California Prop 65 Warning"
13,256525915640,"Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Punch Silver",48818,"Collectibles|Knives, Swords & Blades|Collectible Folding Knives|Modern Folding Knives|Factory Manufactured",19,6,0,13,,"Number of Blades; Handle Material; Blade Type; Opening Mechanism; Product Line; Blade Edge; Lock Type; Tools; Blade Material; Blade Range; Original/Reproduction; Dexterity; California Prop 65 Warning"
13,256525915660,"Diamond Drill Bit Hole Saw Set Core 5/32 - 1/2"" Tile Glass Marble - 6pc",50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",21,8,0,13,,"Suitable For; Number of Items in Set; Package Quantity; Material; Application; Color; Item Diameter; Manufacturer Warranty; Item Weight; Item Depth; California Prop 65 Warning; Unit Quantity; Unit Type"
13,256525915779,"Universal Home 4-piece Black Kitchen Knife Set",177005,"Home & Garden|Kitchen, Dining & Bar|Flatware, Knives & Cutlery|Kitchen & Steak Knives",21,8,0,13,,"Set Includes; Number of Items in Set; Food Compatibility; Blade Edge; Handle Material; Blade Length; Personalize; Manufacturer Warranty; Making Method; California Prop 65 Warning; Unit Quantity; Unit Type; Personalization Instructions"
13,256525915800,"ASR Outdoor 8"" Eagle Head Pocket Knife",7306,"Sporting Goods|Hunting|Knives & Tools|Other Hunting Knives & Tools",20,7,0,13,,"Tools Included; Number of Tools; Blade Material; Handle Material; Blade Edge; Blade Length; Blade Hardness; California Prop 65 Warning; Item Weight; Manufacturer Warranty; Overall Length; Unit Quantity; Unit Type"
13,256525915827,"Extendable Fly Swatter Durable Telescopic Pole Anti Slip",181042,"Home & Garden|Yard, Garden & Outdoor Living|Weed & Pest Control|Insect & Grub Control|Swatters",24,11,0,13,,"Pest Type; Indoor/Outdoor; Battery Included; Number in Pack; Power Source; Year Manufactured; California Prop 65 Warning; Cable Length; Item Weight; Power; Voltage; Unit Quantity; Unit Type"
13,256525915851,"Extendable Fly Swatter - Durable Telescopic Pole-Anti Slip- Red",181042,"Home & Garden|Yard, Garden & Outdoor Living|Weed & Pest Control|Insect & Grub Control|Swatters",24,11,0,13,,"Pest Type; Indoor/Outdoor; Battery Included; Number in Pack; Power Source; Year Manufactured; California Prop 65 Warning; Cable Length; Item Weight; Power; Voltage; Unit Quantity; Unit Type"
13,256525915874,"Disney Kids Jump Rope - Mickey Mouse Roadsters",62134,"Sporting Goods|Fitness, Running & Yoga|Fitness Equipment & Gear|Jump Ropes",23,10,0,13,,"Features; Sport/Activity; Muscle Group; Item Weight; Usage; Grip Material; Indoor/Outdoor; California Prop 65 Warning; Item Diameter; Number of Items in Set; Set Includes; Unit Quantity; Unit Type"
13,256525915928,"SE 8372SH Stone Hammer, 10""",20763,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Hammers & Mallets",21,8,0,13,,"Head/Face Material; Handle Material; Number of Pieces; Handle Size; Model; Manufacturer Warranty; MPN; Personalize; Item Diameter; Item Weight; Personalization Instructions; Unit Quantity; Unit Type"
13,256526374819,"Jumbo 6.5 Inch Carabiner Key Chain with Grip - 2 Pack Black and Silver",45237,"Clothing, Shoes & Accessories|Women|Women's Accessories|Key Chains, Rings & Finders",22,9,0,13,,"Theme; Material; Character; Accents; Character Family; Size; Pattern; Vintage; Handmade; Personalize; Style; California Prop 65 Warning; Personalization Instructions"
12,256446183485,"GEAR AID Quick Dry Microfiber Towel for Travel, Camping, Sports, XL, 35” x 62”",181398,"Sporting Goods|Camping & Hiking|Camping Hygiene & Sanitation|Camping Towels",20,8,0,12,,"Suitable For; California Prop 65 Warning; Care Instructions; Department; Features; Item Weight; MPN; Number in Pack; Pattern; Set Includes; Unit Quantity; Unit Type"
12,256462817259,"11 Function Credit Card Sized Multi-tool - 20 Pack",75236,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Multi-Tools",20,8,0,12,,"Tools Included; Number of Tools; Blade Material; Blade Edge; Blade Length; Closed Length; California Prop 65 Warning; Item Weight; Manufacturer Warranty; Overall Length; Unit Quantity; Unit Type"
12,256508244509,"ToolTreaux Diamond Coated Cutting Burrs Set Assorted Rotary Tools 12pc 150 Grit",260207,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Rotary Tool Accessories",23,11,0,12,,"Application; Voltage; Connection Type; Package Quantity; Number of Items in Set; Suitable For; Manufacturer Warranty; Item Diameter; Item Depth; Item Weight; Unit Quantity; Unit Type"
12,256510047965,"GEAR AID Revivex Odor Eliminator for Tents, Footwear and Sports Gear, 2 fl oz",260134,"Home & Garden|Household Supplies & Cleaning|Laundry Supplies|Detergents, Softeners & Stain Removers",18,6,0,12,,"Form; For; Number in Pack; Scent; Capacity; Features; Suitable For; Power Source; California Prop 65 Warning; Labels & Certifications; Unit Quantity; Unit Type"
12,256510047992,"GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, L, 30"" x 50""",181398,"Sporting Goods|Camping & Hiking|Camping Hygiene & Sanitation|Camping Towels",20,8,0,12,,"Suitable For; California Prop 65 Warning; Care Instructions; Department; Features; Item Weight; MPN; Number in Pack; Pattern; Set Includes; Unit Quantity; Unit Type"
12,256525915696,"100pc Polish Sand Cut Rotary Accessory Set in Wooden Box",260207,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Rotary Tool Accessories",23,11,0,12,,"Application; Voltage; Connection Type; Package Quantity; Number of Items in Set; Suitable For; Manufacturer Warranty; Item Diameter; Item Depth; Item Weight; Unit Quantity; Unit Type"
12,256525915740,"ASR Outdoor (2-Pack) Camping Utensil Set Army Military MRE Chow Set",87133,"Sporting Goods|Camping & Hiking|Camping Cooking Supplies|Camping Cooking Utensils",24,12,0,12,,"Sport/Activity; Handle Material; Surface Coating; Number of Items in Set; Heat Resistance; Item Weight; Manufacturer Warranty; Product Line; Set Includes; Stove Type Compatibility; Unit Quantity; Unit Type"
12,256525915782,"Orange Emergency Hammer Window Punch and Seat Belt Cutter",20763,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Hammers & Mallets",21,9,0,12,,"Head/Face Material; Handle Material; Number of Pieces; Color; Handle Size; Manufacturer Warranty; Personalize; Item Diameter; Item Weight; Personalization Instructions; Unit Quantity; Unit Type"
12,256525915806,"ASR Outdoor 8"" Pocket Knife - Orange",75236,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Multi-Tools",20,8,0,12,,"Tools Included; Number of Tools; Blade Material; Blade Edge; Blade Length; Closed Length; California Prop 65 Warning; Item Weight; Manufacturer Warranty; Overall Length; Unit Quantity; Unit Type"
12,256525915826,"Serrated Tweezer Tong Set with Case- 12, 10, and 8 Inch 3pc Large",23782,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Hand Tool Sets",23,11,0,12,,"Tools Included; Case Type; System of Measurement; Case Included; Personalize; Manufacturer Warranty; Item Diameter; California Prop 65 Warning; Item Weight; Personalization Instructions; Unit Quantity; Unit Type"
12,256525915863,"Stainless Steel Machete 15.5 Inch Serrated Blade Paracord Handle",42576,"Sporting Goods|Hunting|Knives & Tools|Fixed Blade",18,6,0,12,,"Handle Material; Blade Material; Blade Edge; Blade Length; Country of Origin; Manufacturer Warranty; Blade Hardness; California Prop 65 Warning; Item Weight; Overall Length; Unit Quantity; Unit Type"
