aspect,gap_count,category,action,candidate_column
Sport/Activity,5,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",sport_type_amazon|sportvalue_walmart
"Battery Technology",5,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",battery_technology_ebay
"Number of Lights",5,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_light_sources_amazon
"Operating Time",5,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
MPN,4,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",mpn_ebay|mpn|mpn_amazon|mpn_walmart|manufacturer_part_number|other_part_number
"Blade Width",4,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Power Source",4,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",power_source|power_source_type_amazon
"Number of Batteries",4,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Number of LEDs",4,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Operating Range",4,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Blade Range",4,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Lock Type",4,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Cable Length",4,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Number of Pieces",3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_pieces|number_of_items_amazon|number_of_pieces_amazon|numberofpieces_walmart
"Set Includes",3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",package_includes
"Blade Edge",3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",blade_edge_type_amazon
Model,3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",model|model_name_amazon|modelnumber_walmart|variation_model
"Number of Strands",3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Color,3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",color|color_amazon|color_name_amazon|color_walmart|colorvalue_walmart
Tang,3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",tang_ebay
"Amp Hours",3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Application,3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Head Material",3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",head_material_type_amazon
"Handle Size",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Connection Type",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Amperage,3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Bulb Life Hours",3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Light Color",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Settings",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Power Consumption",3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Sensor Type",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Gauge/Caliber,3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Rope Type",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Lumens,3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Blade Diameter",3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Number of Teeth",3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Cut,2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",cut
Material,2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",material|material_type_amazon|primary_material|material_amazon|material_walmart
"Rope Diameter",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Scent,2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",fragrance
"Heat Resistance",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Stove Type Compatibility",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Surface Coating",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Items in Set",2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_pieces|number_of_items_amazon|number_of_pieces_amazon|numberofpieces_walmart|piece_count_walmart
Dexterity,2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",dexterity_walmart
"Packed Size",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Stuff Sack Size",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Temperature Rating",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Handle Length",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Compatible Model",2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",compatible_model
"Visible Logo",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Wood Type",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Department,2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",department_ebay
"Case Type",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Bulb Shape Code",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Color Temperature",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"EC Range",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"EPREL Registration Number",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Energy Star",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Manufacturer,2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Control Style",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"LED Chip Code",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Mounting,2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Required Tools",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Smart Home Compatibility",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Smart Home Protocol",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Occasion,2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",occasion|occasion_type_amazon|occasion_walmart
"Overall Length",2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",length
"Tools Included",2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",package_includes
"Teeth per Inch",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Material Cut",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Head/Face Material",2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",head_material_type_amazon
"Application Method",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Base Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Clean Up",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Coverage,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Drying Time",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Recommended Coats",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Sheen,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Time Before Recoating",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Transparency,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Maximum Weight Capacity",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Seat Depth",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Seat Height",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Seating Capacity",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"GSM (Grams per Square Meter)",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Item Thickness",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Room,1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",room|recommendedroom_walmart
Shape,1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",shape|item_shape_amazon|shape_walmart
Softness,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Fill Power",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Hip Girth",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
R-Value,1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Shoulder Girth",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Zipper Location",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Insulation Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Shell Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Handle Number",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Size,1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",size_ebay|size
"Compatible Product",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Engine Size",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Engine Type",1,candidate_export,"EXPORT (mapped column never pulled)",engine_type_amazon
"Guide Bar Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Horsepower,1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Sheet Size",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Items",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_pieces|number_of_items_amazon|number_of_pieces_amazon
"Items Included",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",package_includes
Finish,1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",finish_type_amazon|surface_finish|finish_walmart
"Output Voltage",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Shade Shape",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Battery Capacity",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Closure,1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",closure_amazon|closure_type_amazon
"Number of Daily Compartments",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Days",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Glasses Size",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Lens Treatment",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Cover Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Hook Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Stretched Bungee Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Cord Color",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"LED String/Strip Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Compartments",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Gender,1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",gender|gender_walmart
"Animal Species",1,candidate_export,"EXPORT (mapped column never pulled)",animal_type_walmart|animalbreed_walmart
"Autograph Authentication",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Autograph Authentication Number",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Autograph Format",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Certification Number",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Convention/Event,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Featured Person/Artist",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Grade,1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Professional Grader",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Scale,1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",scale_name_amazon
"Signed By",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Sport,1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",sport_type_amazon|sportvalue_walmart
"TV Show",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Time Period Manufactured",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Transformer Faction",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Vehicle Type",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",vehicletype_walmart|vehicle_form_amazon
"For Gun Type",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",gun_type_ebay
"Brush Shape",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Blade Color",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",blade_color_ebay|blade_color_amazon
"Blade Type",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",blade_type_ebay
Award,1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Game Title",1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Game Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Min. Number of Players",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Tools,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Breaking Strength",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Working Load Limit",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Grip Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Muscle Group",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Blade Size",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Cut Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Star Size",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"System of Measurement",1,candidate_export,"EXPORT (mapped column never pulled)",system_of_measurement
"Number of Tools",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_pieces
