query,clicks,impr,actual_ctr,expected_ctr,pos,opportunity_clicks
carabiner vs storage containers,0,185,0.00%,6.68%,4.62,12
mining kit,0,341,0.00%,3.62%,7.4,12
best gold panning kit for beginners,2,837,0.24%,1.63%,11.85,12
gold rush tools,0,565,0.00%,1.94%,10.76,11
miners moss sluice box matting,1,187,0.53%,6.38%,4.79,11
rock chisel set,0,288,0.00%,3.58%,7.45,10
marking ribbon,1,206,0.49%,5.34%,5.55,10
gold sluice,7,954,0.73%,1.70%,11.52,9
storage containers vs carabiner,0,175,0.00%,5.23%,5.64,9
rockhounding tools,5,588,0.85%,2.39%,10.01,9
best gold panning kit,4,844,0.47%,1.50%,12.48,9
gold and fish pamphlet 2026,4,141,2.84%,8.85%,3.61,8
where to find gold in washington state,3,282,1.06%,4.04%,6.85,8
black sand separator,0,128,0.00%,6.52%,4.71,8
gold prospecting tools,0,556,0.00%,1.49%,12.54,8
what to look for when rockhounding,1,135,0.74%,6.88%,4.51,8
rock classifier,2,136,1.47%,7.40%,4.22,8
gold classifiers,6,382,1.57%,3.61%,7.42,8
gold in washington state,0,259,0.00%,2.94%,8.53,8
finding rocks,1,169,0.59%,5.05%,5.79,8
miners hammer,0,100,0.00%,7.37%,4.24,7
bucket classifier,2,183,1.09%,5.04%,5.8,7
classifier screens,7,407,1.72%,3.48%,7.6,7
geology set,1,137,0.73%,5.76%,5.2,7
gold panning classifier,3,277,1.08%,3.54%,7.51,7
gold sleuth box,0,190,0.00%,3.39%,7.73,6
geology equipment for outdoor enthusiasts,0,196,0.00%,3.26%,7.91,6
gold pan kit,3,569,0.53%,1.65%,11.77,6
gold pan,0,131,0.00%,4.75%,6.06,6
rock hounding,2,252,0.79%,3.23%,7.96,6
rock hounding kit,20,355,5.63%,7.35%,4.25,6
screen for 5 gallon bucket,5,154,3.25%,7.10%,4.39,6
gold panning supplies,0,285,0.00%,1.96%,10.73,6
rockhounding bag,4,139,2.88%,6.81%,4.55,5
classifier screeners,0,155,0.00%,3.47%,7.61,5
sifter for 5 gallon bucket,1,108,0.93%,5.87%,5.11,5
gold kit,0,317,0.00%,1.68%,11.59,5
miners moss for sale,0,241,0.00%,2.20%,10.34,5
gold panning set,2,246,0.81%,2.93%,8.54,5
gold panning in washington state,6,230,2.61%,4.85%,5.96,5
what’s the top portable equipment for gold fieldwork?,0,110,0.00%,4.65%,6.17,5
rivers with gold in washington state,2,215,0.93%,3.23%,7.95,5
classifier gold panning,0,170,0.00%,2.85%,8.7,5
bucket screens,2,173,1.16%,3.85%,7.07,5
classifier for gold panning,2,218,0.92%,3.02%,8.37,5
best gold panning kit for starting out in california,0,190,0.00%,2.40%,9.99,5
gold panning kits,5,416,1.20%,2.27%,10.21,4
5 gallon bucket classifier metal,0,109,0.00%,4.04%,6.84,4
gold panning kit with paydirt,1,136,0.74%,3.93%,6.97,4
rockhounding kit,9,269,3.35%,4.92%,5.9,4
small sluice box,1,188,0.53%,2.73%,8.93,4
panning for gold in washington state,7,213,3.29%,5.20%,5.67,4
finding rock,0,115,0.00%,3.41%,7.7,4
gold pan classifier,2,157,1.27%,3.76%,7.2,4
is there gold in washington state,0,162,0.00%,2.41%,9.96,4
geologist kit,0,115,0.00%,3.33%,7.82,4
where to pan for gold in washington state,2,107,1.87%,5.44%,5.47,4
gold and fish pamphlet,2,128,1.56%,4.53%,6.3,4
gold sluice mat,1,140,0.71%,3.38%,7.74,4
rock finding,1,130,0.77%,3.63%,7.38,4
gold prospecting in washington state,4,168,2.38%,4.59%,6.23,4
gold mining in washington state,1,136,0.74%,3.37%,7.76,4
plastic sifting screen,0,102,0.00%,3.49%,7.58,4
gold kits,2,148,1.35%,3.75%,7.22,4
best sluice box for recreational gold mining,0,201,0.00%,1.76%,11.2,4
gold prospecting kit,1,225,0.44%,1.99%,10.68,3
river sluice box,0,170,0.00%,2.01%,10.65,3
gold shovel,0,147,0.00%,2.30%,10.17,3
sluice,0,222,0.00%,1.47%,12.63,3
geology equipment for couples,0,160,0.00%,2.02%,10.64,3
gold panning sifter,0,120,0.00%,2.62%,9.25,3
plastic camping utensils,0,226,0.00%,1.38%,13.16,3
rockhounding tools for beginners,0,129,0.00%,2.35%,10.09,3
plastic camping cutlery set,0,203,0.00%,1.48%,12.61,3
rockhound equipment,1,176,0.57%,2.27%,10.21,3
rockhounding for beginners,2,164,1.22%,3.02%,8.36,3
top portable equipment for gold prospecting fieldwork,0,119,0.00%,2.47%,9.77,3
gold panning washington,1,101,0.99%,3.88%,7.03,3
mining kits,0,172,0.00%,1.61%,11.94,3
collapsible lanterns,0,146,0.00%,1.88%,10.86,3
rock hunting kit,2,104,1.92%,4.54%,6.29,3
gold mining kit,0,160,0.00%,1.70%,11.51,3
mining set,0,108,0.00%,2.50%,9.67,3
backpack sluice box,1,151,0.66%,2.44%,9.88,3
oyster dome,0,180,0.00%,1.48%,12.58,3
prospectors hammer,0,175,0.00%,1.50%,12.49,3
rock hunting tools,1,157,0.64%,2.31%,10.15,3
metal detector accessories kit,0,189,0.00%,1.36%,13.4,3
gold panning tutorial,0,102,0.00%,2.51%,9.62,3
rock collecting tools,0,119,0.00%,2.14%,10.44,3
sluce box,0,103,0.00%,2.36%,10.07,2
gold mining kits,0,113,0.00%,2.12%,10.46,2
best gold panning kit for starting out in colorado,0,144,0.00%,1.60%,11.98,2
citronella bracelet,0,167,0.00%,1.37%,13.28,2
best gold panning kit for starting outside,0,105,0.00%,2.17%,10.39,2
prospecting gear for outdoor adventures,0,104,0.00%,2.14%,10.43,2
sluice box for sale,1,220,0.45%,1.45%,12.77,2
folding sluice box,3,200,1.50%,2.56%,9.46,2
canvas hiking backpack,4,403,0.99%,1.49%,12.55,2
panning tools,0,129,0.00%,1.53%,12.36,2
shovels prospecting,0,104,0.00%,1.89%,10.85,2
geology equipment for seniors,0,101,0.00%,1.90%,10.84,2
gold mines in washington state,1,111,0.90%,2.59%,9.38,2
sluice box kit,0,103,0.00%,1.75%,11.23,2
paralace,5,114,4.39%,5.95%,5.04,2
hikes in bellingham,1,112,0.89%,2.35%,10.08,2
gem mining tools,1,108,0.93%,2.36%,10.06,2
what is a sluice box,0,100,0.00%,1.47%,12.64,1
portable sluice box,1,158,0.63%,1.52%,12.41,1
rock pick hammer,0,105,0.00%,1.24%,14.55,1
hikes near bellingham,1,132,0.76%,1.73%,11.33,1
rockhounding backpack,2,104,1.92%,3.15%,8.1,1
gold classifier set,5,131,3.82%,4.75%,6.06,1
gold panning starter kit,1,119,0.84%,1.71%,11.47,1
rock hounding equipment,3,140,2.14%,2.87%,8.67,1
gold mining washington state,6,187,3.21%,3.70%,7.29,1
gold pan set,1,120,0.83%,1.57%,12.15,1
gold sluice box for sale,2,168,1.19%,1.62%,11.88,1
gold sifter pan,1,106,0.94%,1.55%,12.25,1
rockhounding supplies,5,201,2.49%,2.78%,8.84,1
gold panning equipment,5,414,1.21%,1.31%,13.85,0
rockhounding equipment,8,308,2.60%,2.62%,9.28,0
