Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Animal type (product.metafields.shopify.animal-type),Authenticity (product.metafields.shopify.authenticity),Bag/Case closure (product.metafields.shopify.bag-case-closure),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Battery type (product.metafields.shopify.battery-type),Blade design (product.metafields.shopify.blade-design),Blade material (product.metafields.shopify.blade-material),Bug type (product.metafields.shopify.bug-type),Candle type (product.metafields.shopify.candle-type),Carabiner gate type (product.metafields.shopify.carabiner-gate-type),Carabiner shape (product.metafields.shopify.carabiner-shape),Care instructions (product.metafields.shopify.care-instructions),Carry options (product.metafields.shopify.carry-options),Case color (product.metafields.shopify.case-color),Clothing accessory material (product.metafields.shopify.clothing-accessory-material),Color (product.metafields.shopify.color-pattern),Compass style (product.metafields.shopify.compass-style),Condition (product.metafields.shopify.condition),Drinkware material (product.metafields.shopify.drinkware-material),Fabric (product.metafields.shopify.fabric),Features (product.metafields.shopify.features),First aid kit components (product.metafields.shopify.first-aid-kit-components),First aid kit usage (product.metafields.shopify.first-aid-kit-usage),Geological era (product.metafields.shopify.geological-era),Hand warmer type (product.metafields.shopify.hand-warmer-type),Handle material (product.metafields.shopify.handle-material),Hardware material (product.metafields.shopify.hardware-material),Housing material (product.metafields.shopify.housing-material),Hunting/Survival knife design (product.metafields.shopify.hunting-survival-knife-design),Knife type (product.metafields.shopify.knife-type),Light color (product.metafields.shopify.light-color),Light source (product.metafields.shopify.light-source),Light temperature (product.metafields.shopify.light-temperature),Lighting features (product.metafields.shopify.lighting-features),Lock type (product.metafields.shopify.lock-type),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Net material (product.metafields.shopify.net-material),Notepad cover type (product.metafields.shopify.notepad-cover-type),Notepad design (product.metafields.shopify.notepad-design),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Paper type (product.metafields.shopify.paper-type),Power source (product.metafields.shopify.power-source),Product use (product.metafields.shopify.product-use),Rarity (product.metafields.shopify.rarity),Recommended age group (product.metafields.shopify.recommended-age-group),Scent (product.metafields.shopify.scent),Seat type (product.metafields.shopify.seat-type),Sheet color (product.metafields.shopify.sheet-color),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Tool/Utensil material (product.metafields.shopify.tool-utensil-material),Toy/Game material (product.metafields.shopify.toy-game-material),Usage type (product.metafields.shopify.usage-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/BG-210DSB-BK_drawstring_logo_lifestyle2_PL_ad6d2ae3-11f8-40d0-b0e8-4b8af5a08e46.jpg?v=1781134342,11,5-piece metal detecting tools kit with a drawstring backpack (view 11).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/ASRO_black_hand_trowel_lifestyle_01_fc5ec29e-b03c-4820-b7d6-957cc4da66ca.png?v=1781134379,12,5-piece metal detecting tools kit with a drawstring backpack (view 12).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/ASRO_orange_hand_trowel_infographic_01_a6849a0b-ed8e-4f0e-a256-c95c8cd4dbbc.png?v=1781134401,13,5-piece metal detecting tools kit with a drawstring backpack (view 13).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/ASRO_orange_hand_trowel_infographic_02_808a5b2d-b93b-4bd2-a3fb-8cbff0300e1a.png?v=1781134401,14,5-piece metal detecting tools kit with a drawstring backpack (view 14).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/ASRO_orange_hand_trowel_infographic_03_94345307-6adb-4445-a4c2-ee910b568739.png?v=1781134401,15,5-piece metal detecting tools kit with a drawstring backpack (view 15).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/ASRO_orange_hand_trowel_scale_f0c8ffef-02a9-4ed2-acdf-40a1a384eaaf.png?v=1781134415,16,5-piece metal detecting tools kit with a drawstring backpack (view 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/blk1_573168d5-4828-4149-a88c-119ead0601ea.jpg?v=1781134475,17,5-piece metal detecting tools kit with a drawstring backpack (view 17).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/grn1_19dd8d09-d1b3-4468-99d4-c1f572f4c48b.jpg?v=1781134487,18,5-piece metal detecting tools kit with a drawstring backpack (view 18).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/org1_5009e111-7c08-4dd6-8d7e-891a9e4c3ec1.jpg?v=1781134499,19,5-piece metal detecting tools kit with a drawstring backpack (view 19).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/GP3-SS20_Green_Sand_Scoop_Stock4_d39e9710-6ab9-4f1a-9da3-30bf5eb2a73d.jpg?v=1781134543,20,5-piece metal detecting tools kit with a drawstring backpack (view 20).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/GP3-SS20BK_Black_Scoop_Stock1_1e602379-c849-4740-8df3-e9436d4c3cf2.jpg?v=1781134552,21,5-piece metal detecting tools kit with a drawstring backpack (view 21).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/GP3-SS20OR_Orange_Scoop_Stock1_37156499-3e2d-4c45-b641-d1126dd990e6.jpg?v=1781134565,22,5-piece metal detecting tools kit with a drawstring backpack (view 22).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosquito-net-with-mounting-kit-travel-camping-essentials-outdoor-canopy-94-5-inches,"Mosquito Net with Mounting Kit Travel Camping Essentials Outdoor Canopy, 94.5 Inches","<p>Ensure a restful night’s sleep with ASR Outdoors fine mesh round mosquito net for camping, travel, backpacking and other outdoor activities! Keep mosquitoes and pesky bugs out of your sleeping area with this large mosquito indoor or outdoor canopy; measuring 131 inches in diameter, the mosquito net is suitable for most size beds and mattresses. </p>
<p>Importantly, this fine mesh mosquito net in sheer white colorway features 240 holes per square inch, meaning mosquitoes and bugs are out, but that airflow and circulation can still travel within the mosquito netting. The fine mesh material is made from durable polyester, holding up to lots of wear and tear on your travels, backcountry adventures, road trips and more.</p>
<p>A must have item to include with you for travels abroad where mosquitoes could pass on infection, this lightweight mosquito canopy design means the mosquito netting is easy to pack and carry with luggage, backpacking gear, camping gear, emergency preparedness items, survival kits and more. Plus, the mosquito net for bed comes with a mounting kit (hand tools not include), that includes the following: includes x1 hook, x1 wall anchor, x1pc 39 inch white cord, x1pc 24 inch upper hoop and x1 hanging loop.</p>
<p>Lastly, the mosquito net also comes with a reusable and resealable plastic storage zip lock bag for storage when not in use. Stay bug free and enjoy a peaceful, uninterrupted sleep with this camping essentials backpacking gear mosquito net from ASR Outdoor.</p>
<p><strong>Dimensions: 94.5 x 131.5 inches</strong></p>
<p><strong><strong data-end=""2155"" data-start=""2077""><span class=""a-text-bold""><span style=""font-size: 11.0pt; line-height: 115%; font-family: 'Arial',sans-serif;""><span style=""font-family: Verdana;""><span class=""a-list-item""><img style=""display: block; margin-left: auto; margin-right: auto;"" height=""78"" width=""273"" alt="""" src=""https://cdn.shopify.com/s/files/1/0783/2056/6572/files/Shopify_Prop65graphic_480x480.jpg?v=1692130729""></span></span></span></span></strong></strong></p>",ASR Outdoor,Sporting Goods > Outdoor Recreation > Camping & Hiking > Mosquito Nets & Insect Screens > Pyramid Mosquito Nets,Survival/Camping,"bug repellent, camping, camping accessories, camping gear",true,Title,Default Title,,,,,,,,SON-ASRO-ROUNDMOSQUITONET-WHT,385.5535145,shopify,8,deny,manual,19.99,,true,true,,,,,'00810131703035,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/MN-R2394D_mosquito_net_mounting_kit_detail7-2.jpg?v=1780440975,1,Fine-mesh round mosquito net canopy with a mounting kit for camping and travel.,false,Mosquito Net with Mounting Kit for Camping | ASR Outdoor,"Fine-mesh round mosquito net canopy with a mounting kit for camping, travel, and home. A 131-inch diameter keeps bugs off most beds for restful nights outdoors.",3538,unisex,adult,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,polyester,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
mosquito-net-with-mounting-kit-travel-camping-essentials-outdoor-canopy-94-5-inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/MN-R2394D_mosquito_net_mounting_kit_scale.jpg?v=1780440974,2,94.5-inch mosquito net canopy with a mounting kit for camping (view 1).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosquito-net-with-mounting-kit-travel-camping-essentials-outdoor-canopy-94-5-inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/MN-R2394D_mosquito_net_mounting_kit_detail6.jpg?v=1780440974,3,94.5-inch mosquito net canopy with a mounting kit for camping (view 2).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosquito-net-with-mounting-kit-travel-camping-essentials-outdoor-canopy-94-5-inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/MN-R2394D_mosquito_net_mounting_kit_loop.jpg?v=1780440974,4,94.5-inch mosquito net canopy with a mounting kit for camping (view 3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosquito-net-with-mounting-kit-travel-camping-essentials-outdoor-canopy-94-5-inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/MN-R2394D_mosquito_net_mounting_kit_detail3.jpg?v=1780440974,5,94.5-inch mosquito net canopy with a mounting kit for camping (view 4).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
