youtube_id,title,upload_date,length,duration_iso,"description(first 120)",on_products
OdcvlszXOH0,"ASR Outdoor 50 inch Sluice Box Set Up Gold Prospecting Equipment",2022-06-21,4:26,PT4M26S,"SHOP: https://asroutdoor.com/products/50-aluminum-folding-sluice-box-gold-prospecting-equipment  Learn how to properly s","50 Inch Aluminum Folding Gold Sluice Box Prospecting Equipment"
UxDOZeiHAes,"ASR Outdoor Sluice Box Set Up Basics and Rubber Matting Recovery",2022-06-17,4:07,PT4M7S,"SHOP: https://asroutdoor.com/collections/sluice-boxes  Learn how to properly set up a sluice box and clean up your rubbe","(Videos page only)"
XdsMWcP7A0g,"Compilation of us CRACKING open rocks by the river 💥",2025-04-10,0:37,PT37S,"You never know what hidden beauty lies within these stones! Watch as we break open some larger rocks with our chisel set","20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool"
Xepf8uTnR7w,"Top Gold Prospecting Pickaxe for Gold Panning - ASR Outdoor Gear Tested",2023-09-21,1:35,PT1M35S,"https://asroutdoor.com/products/gold-mining-compact-magnetic-prospectors-pick-axe https://www.amazon.com/dp/B07KP8MC52  ","Heavy Duty Collapsable Magnetic Prospectors Pick Axe Gold Prospecting Equipment, Silver"
o6ToaVuqtZk,"Benefits of Using Rubber Riffle Matting for Gold Prospecting",2022-06-24,0:50,PT50S,"SHOP Rubber Riffle Mat: https://asroutdoor.com/products/rubber-mat-riffled-sluice-box-matting-for-gold-recovery-27x10-in","Large Rubber Riffled Sluice Box Matting for Gold Recovery, 27 x 10 inch"
pXoZAJsz4qo,"ASR Outdoor: How to Properly Season Your Gold Pans",2022-06-16,1:45,PT1M45S,"SHOP: https://asroutdoor.com/collections/gold-pans  Learn how to properly season the gold pans in your gold panning kits","(Videos page only)"
t9Fc9uBs24Y,"The ASR Outdoor Gemstone Paydirt Kit! Find Shiny Crystals and Cool Gems",2024-09-24,1:31,PT1M31S,"SHOP OUR KITS: https://asroutdoor.com/collections/gemstone-paydirt  💎 Introducing Our Gemstone Paydirt Kits! 💎  Get read","5LB Genuine Rough Gemstone Paydirt Bags, Rocks and Minerals Collection, Sift, Sort and Find Treasure | 5lb Genuine Tumbled Rocks and Rough Gemstone Paydirt Kits, 14pc (2 Styles)"
u-HoBL5NvLQ,"Product Spotlight: Geology Rock Hounding Kit #rockhounding #geology #toolbag #outdoorgear",2025-09-30,0:33,PT33S,"Unearth adventure with the ASR Outdoor 21pc Geology Rock Hounding Kit! Whether you’re a novice or expert, this all-in-on","21pc Geology Rock Hounding Kit with Mining Tools and Deluxe Carry Bag"
vW6hZTmYAqc,"34 Inch Aluminum Rubber Matting Sluice Box Set Up",2022-06-22,2:58,PT2M58S,"SHOP: https://asroutdoor.com/products/aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-i","Aluminum Sluice Box with Rubber TPR Riffle Matting, Gold Prospecting Equipment, 34 Inch"
xCIlBiVK-hM,"ASR Outdoor x Bobby Bo 6pc Paydirt Beginner Gold Panning Kit",2022-06-16,4:04,PT4M4S,"SHOP: https://asroutdoor.com/products/6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle  New gold ","ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc | ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc"
