aspect,gap_count,category,action,candidate_column
"Game Title",2,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Min. Number of Players",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Brand,2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",brand_ebay|brand_amazon
"Current Rating",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Multimeter Connection",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Voltage Rating",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Effect,2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Flavor,2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Tip Material",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Lid Type",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Battery Life",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Display Resolution",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Display Size",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Measurement System",2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",system_of_measurement
Sensors,2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Handle Number",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Pole Diameter",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Number of Pages",2,candidate_export,"EXPORT (mapped column never pulled)",pages_amazon
"Compatible Model",2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",compatible_model
"Hardware Material",2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",material
"Book Series",2,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Edition,2,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Illustrator,2,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Literary Movement",2,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Publisher,2,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Wood Type",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Filling,2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Items",2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_pieces|number_of_items_amazon|number_of_pieces_amazon
"Magnification Strength",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Case Type",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Top Type",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Breaking Strength",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Working Load Limit",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Blade Hardness",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Color Temperature",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Light Color",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Settings",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Power Consumption",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Number of Teeth",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Teeth per Inch",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
For,2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Backing Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Fire Rating",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Fixture Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Flush Type",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Maximum Flow Rate",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Waste Tank Capacity",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Water Tank Capacity",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Razor Blade Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Razor Blade Width",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Number of Rounds",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Target Capacity",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Throwing Style",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Grip Size",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Head Size",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Sleeping Bag Shape",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Measuring Technology",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Holes",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
4WD/2WD,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Characteristics,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Recommended Surface",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Protection Plan",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Provenance,1,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Recommended Age Range",1,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",recommended_age_range|age_range_description_amazon
"Chest Size",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Collar Style",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Fit,1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Garment Care",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Insulation Material",1,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Jacket/Coat Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Sleeve Length",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Warmth Weight",1,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
